ata,component,qty,unit_mass_kg,total_mass_kg,x_m,y_m,z_m,mx_kgm,my_kgm,mz_kgm,notes,,EXPORT INSTRUCTIONS
25,Lavatory Fwd,1,88.1848,88.1848,18.04462,1.312336,5.577428,1591.261205776,115.7280876928,491.8443726944,0,,
25,Lavatory Aft,1,121.2541,121.2541,50.85302,0,5.577428,6166.137172382,0,676.2860124548,0,,
25,Overhead Bins,1,264.5544,264.5544,27.88714,0,7.874016,7377.665590416,0,2083.1055784704,"Distributed, lumped at cabin centroid",,
26,Engine 1 Fire Bottle,1,17.63696,17.63696,39.37008,-1.968504,7.545932,694.3685261568,-34.71842630784,133.08730084672,0,,
26,Engine 2 Fire Bottle,1,17.63696,17.63696,39.37008,1.968504,7.545932,694.3685261568,34.71842630784,133.08730084672,0,,
26,APU Fire Bottle,1,13.22772,13.22772,62.33596,0,7.545932,824.5626248112,0,99.81547563504,0,,
26,Cargo Fire Bottles,2,15.43234,30.86468,54.13386,0,3.28084,1670.8242660648,0,101.2620767312,0,,
27,Aileron LH,1,39.68316,39.68316,36.08924,-24.6063,7.217848,1432.1350851984,-976.455739908,286.42701703968,0,,
27,Aileron RH,1,39.68316,39.68316,36.08924,24.6063,7.217848,1432.1350851984,976.455739908,286.42701703968,0,,
27,Elevator LH,1,48.50164,48.50164,63.97638,-6.56168,16.4042,3102.9593512632,-318.2522411552,795.630602888,T-tail,,
27,Elevator RH,1,48.50164,48.50164,63.97638,6.56168,16.4042,3102.9593512632,318.2522411552,795.630602888,T-tail,,
27,Rudder,1,66.1386,66.1386,63.97638,0,13.779528,4231.308206268,0,911.3586905808,0,,
27,Flap LH,1,121.2541,121.2541,34.44882,-13.12336,6.56168,4177.060665162,-1591.261205776,795.630602888,0,,
27,Flap RH,1,121.2541,121.2541,34.44882,13.12336,6.56168,4177.060665162,1591.261205776,795.630602888,0,,
27,Spoilers,4,26.45544,105.82176,35.433072,0,6.889764,3749.59004124672,0,729.08695246464,2 per wing,,
27,PCU Assemblies,8,22.0462,176.3696,39.37008,0,8.2021,6943.685261568,0,1446.60109616,Distributed,,
28,Fuel Tank LH (full),1,5511.55,5511.55,34.44882,-9.84252,6.56168,189866.393871,-54247.541106,36165.027404,"Integral wing tank, ~3100 L Jet A",,
28,Fuel Tank RH (full),1,5511.55,5511.55,34.44882,9.84252,6.56168,189866.393871,54247.541106,36165.027404,"Integral wing tank, ~3100 L Jet A",,
28,Center Tank (full),1,2866.006,2866.006,32.8084,0,5.249344,94029.0712504,0,15044.651400064,Wing center section,,
28,Boost Pumps,4,13.22772,52.91088,34.44882,0,5.905512,1822.7173811616,0,312.46583677056,0,,
28,Fuel Lines,1,88.1848,88.1848,36.08924,0,5.905512,3182.522411552,0,520.7763946176,Lumped,,
29,Hyd System A Pump,1,26.45544,26.45544,41.0105,-1.64042,6.56168,1084.95082212,-43.3980328848,173.5921315392,Engine-driven LH,,
29,Hyd System B Pump,1,26.45544,26.45544,41.0105,1.64042,6.56168,1084.95082212,43.3980328848,173.5921315392,Engine-driven RH,,
29,Hyd Reservoir A,1,33.0693,33.0693,44.29134,-1.312336,6.233596,1464.683609862,-43.3980328848,206.1406562028,0,,
29,Hyd Reservoir B,1,33.0693,33.0693,44.29134,1.312336,6.233596,1464.683609862,43.3980328848,206.1406562028,0,,
30,Wing Anti-Ice Ducting,1,77.1617,77.1617,34.44882,0,6.233596,2658.129514194,0,480.9948644732,Bleed-air leading edge,,
30,Engine Anti-Ice Valves,2,6.61386,13.22772,39.37008,0,7.217848,520.7763946176,0,95.47567234656,0,,
30,Window Heat,1,17.63696,17.63696,9.84252,0,6.56168,173.5921315392,0,115.7280876928,0,,
31,DFDR,1,17.63696,17.63696,55.77428,0,6.56168,983.6887453888,0,115.7280876928,Aft fuselage (crashworthy),,
31,Display Units,4,22.0462,88.1848,9.84252,0,5.905512,867.960657696,0,520.7763946176,Cockpit,,
32,Nose Gear Assy,1,308.6468,308.6468,14.76378,0,1.968504,4556.793452904,0,607.5724603872,Retracted position centroid,,
32,MLG LH,1,771.617,771.617,37.72966,-5.905512,2.624672,29112.84706022,-4556.793452904,2025.241534624,0,,
32,MLG RH,1,771.617,771.617,37.72966,5.905512,2.624672,29112.84706022,4556.793452904,2025.241534624,0,,
32,Brakes,4,77.1617,308.6468,37.72966,0,1.968504,11645.138824088,0,607.5724603872,4 wheels,,
32,Wheels & Tires,6,55.1155,330.693,34.44882,0,1.968504,11391.98363226,0,650.970493272,4 MLG + 2 NLG,,
33,Landing Lights,4,6.61386,26.45544,34.44882,0,3.28084,911.3586905808,0,86.7960657696,Wing root / MLG,,
33,Nav Lights,3,2.20462,6.61386,39.37008,0,8.2021,260.3881973088,0,54.247541106,Wingtips + tail,,
33,Cabin Lighting,1,44.0924,44.0924,27.88714,0,7.545932,1229.610931736,0,332.7182521168,Distributed,,
34,IRS 1,1,39.68316,39.68316,11.48294,-0.984252,5.577428,455.6793452904,-39.05822959632,221.32996771248,0,,
34,IRS 2,1,39.68316,39.68316,11.48294,0.984252,5.577428,455.6793452904,39.05822959632,221.32996771248,0,,
34,GPS,2,6.61386,13.22772,11.48294,0,8.2021,151.8931150968,0,108.495082212,Antennas on top fuselage,,
34,Weather Radar,1,33.0693,33.0693,4.92126,0,4.92126,162.742623318,0,162.742623318,Nose radome,,
34,Radio Altimeter,2,8.81848,17.63696,36.08924,0,2.296588,636.5044823104,0,40.50483069248,0,,
35,Crew O2 Bottle,1,39.68316,39.68316,11.48294,1.312336,2.952756,455.6793452904,52.07763946176,117.17468878896,Fwd equipment bay,,
35,Pax O2 Generators,1,99.2079,99.2079,27.88714,0,7.874016,2766.624596406,0,781.1645919264,Chemical generators in PSU,,
36,Bleed Air Ducting,1,132.2772,132.2772,37.72966,0,6.233596,4990.773781752,0,824.5626248112,Engine to wing/pack,,
36,Precoolers,2,44.0924,88.1848,39.37008,0,6.56168,3471.842630784,0,578.640438464,0,,
38,Potable Water Tank,1,143.3003,143.3003,16.4042,0,3.28084,2350.72678126,0,470.145356252,~60 L at 100% fill,,
38,Waste Tank,1,176.3696,176.3696,50.85302,0,3.28084,8968.926796192,0,578.640438464,Aft of aft lav,,
49,APU Assembly,1,319.6699,319.6699,63.97638,0,7.545932,20451.322996962,0,2412.2073278468,"Aft fuselage, typ. P&W 901 class",,
49,APU Mounts,1,39.68316,39.68316,63.97638,0,7.545932,2538.7849237608,0,299.44642690512,0,,
49,APU Inlet/Exhaust,1,48.50164,48.50164,63.97638,0,8.530184,3102.9593512632,0,413.72791350176,0,,
52,Fwd Pax Door LH,1,187.3927,187.3927,13.12336,-2.952756,4.593176,2459.221863472,-553.3249192812,860.7276522152,Main entry / airstair,,
52,Fwd Pax Door RH,1,77.1617,77.1617,13.12336,2.952756,4.593176,1012.620767312,227.8396726452,354.4172685592,Service door,,
52,Aft Pax Door LH,1,66.1386,66.1386,50.85302,-2.952756,4.593176,3363.347548572,-195.2911479816,303.7862301936,Emergency exit,,
52,Aft Pax Door RH,1,66.1386,66.1386,50.85302,2.952756,4.593176,3363.347548572,195.2911479816,303.7862301936,Emergency exit,,
52,Cargo Door Fwd,1,99.2079,99.2079,14.76378,0,1.64042,1464.683609862,0,162.742623318,Belly nose baggage,,
52,Cargo Door Aft,1,121.2541,121.2541,54.13386,-2.952756,3.937008,6563.952473826,-358.0337712996,477.3783617328,External aft baggage,,
53,Fwd Fuselage Section,1,1212.541,1212.541,11.48294,0,4.92126,13923.53555054,0,5967.22952166,Nose to fwd pressure bulkhead,,
53,Center Fuselage Section,1,2094.389,2094.389,34.44882,0,5.577428,72149.22967098,0,11681.303851492,Wing carry-through,,
53,Aft Fuselage Section,1,1433.003,1433.003,54.13386,0,5.905512,77573.98378158,0,8462.616412536,Pressurized aft + tailcone,,
53,Pressure Bulkhead,1,198.4158,198.4158,57.4147,0,5.905512,11391.98363226,0,1171.7468878896,Aft pressure bulkhead,,
54,Pylon LH,1,242.5082,242.5082,42.65092,-3.937008,7.217848,10343.197837544,-954.7567234656,1750.3873263536,0,,
54,Pylon RH,1,242.5082,242.5082,42.65092,3.937008,7.217848,10343.197837544,954.7567234656,1750.3873263536,0,,
54,Nacelle LH,1,396.8316,396.8316,43.307088,-4.92126,7.545932,17185.6210223808,-1952.911479816,2994.4642690512,0,,
54,Nacelle RH,1,396.8316,396.8316,43.307088,4.92126,7.545932,17185.6210223808,1952.911479816,2994.4642690512,0,,
55,Horizontal Stab,1,617.2936,617.2936,62.33596,0,16.4042,38479.589157856,0,10126.20767312,T-tail top of vertical,,
55,Vertical Stab,1,705.4784,705.4784,60.69554,0,11.48294,42819.392446336,0,8100.966138496,0,,
56,Flight Deck Windows,1,187.3927,187.3927,10.498688,0,6.56168,1967.3774907776,0,1229.610931736,"5-panel, lumped",,
56,Cabin Windows,14,22.0462,308.6468,27.88714,0,6.56168,8607.276522152,0,2025.241534624,7 per side,,
57,Wing Box LH,1,1058.2176,1058.2176,34.44882,-9.84252,6.233596,36454.347623232,-10415.527892352,6596.5009984896,0,,
57,Wing Box RH,1,1058.2176,1058.2176,34.44882,9.84252,6.233596,36454.347623232,10415.527892352,6596.5009984896,0,,
57,Wing Skins LH,1,485.0164,485.0164,34.44882,-16.4042,6.56168,16708.242660648,-7956.30602888,3182.522411552,0,,
57,Wing Skins RH,1,485.0164,485.0164,34.44882,16.4042,6.56168,16708.242660648,7956.30602888,3182.522411552,0,,
57,Leading Edge,1,242.5082,242.5082,32.8084,0,6.56168,7956.30602888,0,1591.261205776,"Both wings, lumped",,
57,Trailing Edge,1,286.6006,286.6006,37.72966,0,6.56168,10813.343193796,0,1880.581425008,"Both wings, lumped",,
71,Engine 1 Core,1,1653.465,1653.465,43.307088,-3.937008,7.545932,71606.75425992,-6509.70493272,12476.93445438,"Dry weight, aft fuselage mount",,
71,Engine 2 Core,1,1653.465,1653.465,43.307088,3.937008,7.545932,71606.75425992,6509.70493272,12476.93445438,"Dry weight, aft fuselage mount",,
71,Engine Mounts LH,1,88.1848,88.1848,42.65092,-3.937008,7.545932,3761.162850016,-347.1842630784,665.4365042336,0,,
71,Engine Mounts RH,1,88.1848,88.1848,42.65092,3.937008,7.545932,3761.162850016,347.1842630784,665.4365042336,0,,
73,FADEC 1,1,17.63696,17.63696,42.65092,-3.937008,7.545932,752.2325700032,-69.43685261568,133.08730084672,0,,
73,FADEC 2,1,17.63696,17.63696,42.65092,3.937008,7.545932,752.2325700032,69.43685261568,133.08730084672,0,,
73,Fuel Metering Unit 1,1,26.45544,26.45544,42.65092,-3.937008,7.545932,1128.3488550048,-104.15527892352,199.63095127008,0,,
73,Fuel Metering Unit 2,1,26.45544,26.45544,42.65092,3.937008,7.545932,1128.3488550048,104.15527892352,199.63095127008,0,,
75,Bleed Valves,4,8.81848,35.27392,42.65092,0,7.545932,1504.4651400064,0,266.17460169344,0,,
75,Variable Stator Vanes,2,13.22772,26.45544,42.65092,0,7.545932,1128.3488550048,0,199.63095127008,Per engine actuator,,
78,Exhaust Nozzle LH,1,77.1617,77.1617,45.93176,-3.937008,7.545932,3544.172685592,-303.7862301936,582.2569412044,0,,
78,Exhaust Nozzle RH,1,77.1617,77.1617,45.93176,3.937008,7.545932,3544.172685592,303.7862301936,582.2569412044,0,,
78,Thrust Reverser LH,1,198.4158,198.4158,45.275592,-3.937008,7.545932,8983.3928071536,-781.1645919264,1497.2321345256,0,,
78,Thrust Reverser RH,1,198.4158,198.4158,45.275592,3.937008,7.545932,8983.3928071536,781.1645919264,1497.2321345256,0,,
79,Oil Tank 1,1,26.45544,26.45544,43.307088,-3.937008,7.874016,1145.70806815872,-104.15527892352,208.31055784704,0,,
79,Oil Tank 2,1,26.45544,26.45544,43.307088,3.937008,7.874016,1145.70806815872,104.15527892352,208.31055784704,0,,
79,Oil Coolers,2,17.63696,35.27392,44.29134,0,7.545932,1562.3291838528,0,266.17460169344,0,,
80,Starter 1,1,22.0462,22.0462,41.994752,-3.937008,7.545932,925.8247015424,-86.7960657696,166.3591260584,Air turbine starter,,
80,Starter 2,1,22.0462,22.0462,41.994752,3.937008,7.545932,925.8247015424,86.7960657696,166.3591260584,Air turbine starter,,
,,,,,,,,,,,,,
METADATA,,,,,,,,,,,,,
version,1899-12-30,,,,,,,,,,,,
status,Draft,,,,,,,,,,,,
last_updated,2026-05-17,,,,,,,,,,,,
author,0,,,,,,,,,,,,
change_note,Initial business jet baseline (Challenger 350 / Praetor 500 class),,,,,,,,,,,,

# METADATA
version,1899-12-30
status,Draft
last_updated,2026-05-17
author,0
change_note,Initial business jet baseline (Challenger 350 / Praetor 500 class)
